,userId,symbol,pnl,roe,createTimeStamp,updateTimeStamp,amount,date,timeInTrade
0,DF59C1C6151E3E906E662703FB6B4811,SUSHIUSDT,1348.57995717,1.3435,1655498609.616,1655511428.79,48121.0,2022-06-18 03:17:08.790,12819.174
0,DF59C1C6151E3E906E662703FB6B4811,GALUSDT,4365.050466,0.4207,1655541096.355,1655657966.872,41510.0,2022-06-19 19:59:26.872,116870.517
0,DF74DFB6CB244F8033F1D66D5AA0B171,HBARUSDT,661.4275041,0.0133,1643895198.834,1643895821.707,1061511.0,2022-02-03 15:43:41.707,622.873
0,DF74DFB6CB244F8033F1D66D5AA0B171,MATICUSDT,12651.45779324,0.4864,1644242761.117,1644247227.145,136052.0,2022-02-07 17:20:27.145,4466.028
0,DF74DFB6CB244F8033F1D66D5AA0B171,ENSUSDT,-16801.53683924,-0.3135,1644144505.13,1644247502.12,-12691.9,2022-02-07 17:25:02.120,102996.99
0,DF74DFB6CB244F8033F1D66D5AA0B171,MATICUSDT,3116.74525641,0.1248,1644247639.341,1644251923.58,127679.0,2022-02-07 18:38:43.580,4284.239
0,DF74DFB6CB244F8033F1D66D5AA0B171,AVAXUSDT,19444.21060825,0.7583,1644292823.561,1644292906.571,2825.0,2022-02-08 06:01:46.571,83.01
0,DF74DFB6CB244F8033F1D66D5AA0B171,MANAUSDT,1271.24802655,0.0516,1644324077.306,1644330448.09,76735.0,2022-02-08 16:27:28.090,6370.784
0,DF74DFB6CB244F8033F1D66D5AA0B171,SANDUSDT,1565.67801082,0.0624,1644324076.928,1644330448.096,56243.0,2022-02-08 16:27:28.096,6371.168
0,DF74DFB6CB244F8033F1D66D5AA0B171,ANKRUSDT,2583.65473524,0.0651,1644422553.784,1644422881.483,2308401.0,2022-02-09 18:08:01.483,327.699
0,DF74DFB6CB244F8033F1D66D5AA0B171,CHZUSDT,1320.9069079,0.1081,1644422552.715,1644423052.721,263762.0,2022-02-09 18:10:52.721,500.006
0,DF74DFB6CB244F8033F1D66D5AA0B171,MANAUSDT,1313.73022144,0.0534,1644486178.751,1644487739.64,74152.0,2022-02-10 12:08:59.640,1560.889
0,DF74DFB6CB244F8033F1D66D5AA0B171,BNBUSDT,245.50404021,0.0294,1644498132.522,1644499438.521,194.21,2022-02-10 15:23:58.521,1305.999
0,DF74DFB6CB244F8033F1D66D5AA0B171,BTCUSDT,-13544.2301762,-0.0805,1644593056.087,1644595585.056,77.249,2022-02-11 18:06:25.056,2528.969
0,DF74DFB6CB244F8033F1D66D5AA0B171,DOGEUSDT,-11618.33085397,-0.1168,1644751392.223,1644796952.808,6546977.0,2022-02-14 02:02:32.808,45560.585
0,DF74DFB6CB244F8033F1D66D5AA0B171,THETAUSDT,-4798.02158667,-0.1404,1644847695.788,1644860692.586,94547.7,2022-02-14 19:44:52.586,12996.798
0,DF74DFB6CB244F8033F1D66D5AA0B171,BNBUSDT,2463.50414117,0.0501,1644930020.961,1644936864.637,1139.29,2022-02-15 16:54:24.637,6843.676
